"fld_sid","fld_fname","fld_email","fld_activationcode","fld_pswd","fld_phone","fld_mobile","fld_city","fld_level0","fld_category","fld_level1","fld_subcategory","fld_brandname","fld_brand","fld_bstype","fld_description","fld_estyear","fld_address","fld_pincode","fld_slogo","fld_swebsite","fld_b99status","fld_delstatus","fld_userstatus"
"11","Indian Steel Trading Corporation","indiansathishi@gmail.com",,,"91-452-4376519    
Mobile : 91 98431 74519",,"Madurai","civil","5","Cement","1","Ultra Tech Cements","175","Dealers","Indian Steel Trading Corporation deal with cement products.Authorised dealer for Ultratech cement.","1978","NO.18WEST MASI STREET
Madurai-625001","625001",,"www.istcmadurai.com","0","0","1"
"12","Indian Steel Trading Corporation","indiansathishi@gmail.com",,,"91-452-4376519    
Mobile : 91 98431 74519",,"Madurai","civil","5","Cement","1","Dalmia Cement","34","Dealers","Indian Steel Trading Corporation deal with cement products.Authorised dealer for Dalmia cements.","1978","NO.18WEST MASI STREET
Madurai-625001","625001",,"www.istcmadurai.com","0","0","1"
"13","kasim Steel Traders",,,,,"9965523651-9443323651","Madurai","civil","5","Cement","1","Acc Cements","1","Dealers","Kannith Suppliers Trading Corporation deal with iron and steel products.Authorised dealer for Tata Tiscon.","1962","8|9 Near Hindu Mission Hospital West Chairman Shanmugam Street Poonthottam Pathai Madurai HO Madurai - 625001","625001",,,"0","0","1"
"14","kasim Steel Traders",,,,,"9965523651-9443323651","Madurai","civil","5","Cement","1","Ambuja Cements","6","Dealers","Kannith Suppliers Trading Corporation deal with iron and steel products.Authorised dealer for Tata Tiscon.","1962","8|9 Near Hindu Mission Hospital West Chairman Shanmugam Street Poonthottam Pathai Madurai HO Madurai - 625001","625001",,,"0","0","1"
"15","kasim Steel Traders",,,,,"9965523651-9443323651","Madurai","civil","5","Cement","1","Jk Cements","86","Dealers","Kannith Suppliers Trading Corporation deal with iron and steel products.Authorised dealer for Tata Tiscon.","1962","8|9 Near Hindu Mission Hospital West Chairman Shanmugam Street Poonthottam Pathai Madurai HO Madurai - 625001","625001",,,"0","0","1"
"16","Mariappa Nadar Building Solutions",,,,,"91 -9363333833-8903333888","Madurai","civil","5","Cement","1","Ultra Tech Cements","175","Dealers","Mariappa Nadar Building Solutions deal with cement products.Authorised dealer for Ultratech cements.","2014","No 456|1 Opposite Vikram Hospital Sivagangai Road Ring Road Junction Karuppayurani Madurai - 625020","625020",,"www.building-solutions.in","0","0","1"
"17","S S N Trading Co",,,,"452-4220654","9843099636","Madurai","civil","5","Cement","1","Jaypee Cements","84","Dealers","SSN trading co deal with cement products.Authorised jaypee dealers for  cements.","1970","No 3 Rathna sami Narthar road BilBikulam Narimedu Madurai - 625002","625002",,,"0","0","1"
"18","S S N Trading Co",,,,"452-4220654","9843099636","Madurai","civil","5","Cement","1","Ramco","138","Dealers","SSN trading co deal with cement products.Authorised ramco dealers for dalmia cements.","1970","No 3 Rathna sami Narthar road BilBikulam Narimedu Madurai - 625002","625002",,,"0","0","1"
"19","Sri Ganesha Hollow Bricks And Pavers",,,,"421-2257975","9442581978-9443351978","Madurai","civil","5","Cement","1","Jaypee Cements","84","Dealers","Sri Ganesha Hollow Bricks And Pavers deal with cement products.Authorised dealers for jaypee cements.","1998","Near Ramakrishna School Ammapalayam Tirupur - 641652","641652",,"www.sriganeshahollowbricks.com","0","0","1"
"20","Badusha steels","vcare@badhushasteels.com",,,"2580196- 5390296",,"Madurai","civil","5","Cement","1","Ultra Tech Cements","175","Distributors","Badhusha steels deal with cement products.Authorised distributor for Chettinad cements.","1975","Door No: 9 K.K. NAGAR MAIN ROAD 
(OPP. WAKF BOARD COLLEGE)
MADURAI - 625 020.
INDIA.","625020","Badhusha-Steels.jpg","WWW.BADHUSHASTEELS.COM","0","0","1"
"21","Badusha steels","vcare@badhushasteels.com",,,"2580196- 5390296",,"Madurai","civil","5","Cement","1","Acc Cements","1","Distributors","Badhusha steels deal with cement products.Authorised distributor for Chettinad cements.","1975","Door No: 9 K.K. NAGAR MAIN ROAD 
(OPP. WAKF BOARD COLLEGE)
MADURAI - 625 020.
INDIA.","625020","Badhusha-Steels.jpg","WWW.BADHUSHASTEELS.COM","0","0","1"
"22","S S N Trading Co",,,,"452-4220654","9843099636","Madurai","civil","5","Cement","1","Acc Cements","1","Distributors","SSN trading co deal with cement products.Authorised distributor for acc cements.","1970","No 3 Rathna sami Narthar road BilBikulam Narimedu Madurai - 625002","625002",,,"0","0","1"
"23","S S N Trading Co",,,,"452-4220654","9843099636","Madurai","civil","5","Cement","1","Dalmia Cement","34","Distributors","SSN trading co deal with cement products.Authorised distributor for dalmia cements.","1970","No 3 Rathna sami Narthar road BilBikulam Narimedu Madurai - 625002","625002",,,"0","0","1"
"24","Sri Ganesha Hollow Bricks And Pavers",,,,"421-2257975","9442581978-9443351978","Madurai","civil","5","Cement","1","Ultra Tech Cements","175","Distributors","Sri Ganesha Hollow Bricks And Pavers deal with cement products.Authorised distributor for ultratech cements.","1998","Near Ramakrishna School Ammapalayam Tirupur - 641652","641652",,"www.sriganeshahollowbricks.com","0","0","1"
"25","Sri Ganesha Hollow Bricks And Pavers",,,,"421-2257975","9442581978-9443351978","Madurai","civil","5","Cement","1","Acc Cements","1","Distributors","Sri Ganesha Hollow Bricks And Pavers deal with cement products.Authorised distributor for acc cements.","1998","Near Ramakrishna School Ammapalayam Tirupur - 641652","641652",,"www.sriganeshahollowbricks.com","0","0","1"
"26","Sri Ganesha Hollow Bricks And Pavers",,,,"421-2257975","9442581978-9443351978","Madurai","civil","5","Cement","1","Bharathi Cements","20","Distributors","Sri Ganesha Hollow Bricks And Pavers deal with cement products.Authorised distributor for bharathi cements.","1998","Near Ramakrishna School Ammapalayam Tirupur - 641652","641652",,"www.sriganeshahollowbricks.com","0","0","1"
"27","Super Traders",,,,"44-26512577","7299915577-9789257452","Madurai","civil","5","Cement","1","Ultra Tech Cements","175","Distributors","super traders deal with cement products.Authorised distributor for ultratech cements.","2010","37 A Opp Ambedkar Nagar Bus Stop Sri Ganesh Nagar Kolathur Chennai - 600099","600099",,"www.supertraders.co.in","0","0","1"
"28","Super Traders",,,,"44-26512577","7299915577-9789257452","Madurai","civil","5","Cement","1","Bharathi Cements","20","Distributors","super traders deal with cement products.Authorised distributor for ultratech cements.","2010","37 A Opp Ambedkar Nagar Bus Stop Sri Ganesh Nagar Kolathur Chennai - 600099","600099",,"www.supertraders.co.in","0","0","1"
"29","Golden Steel Corporation",,,,"427-2350886-2352662-2351925","9894616812-9443231886","Madurai","civil","5","Steel","2","Tata Tiscon","168","Dealers","Golden Steel Corporation deal with steel products.Authorised distributor for tata tiscon.","1980","No 13 4 Roads Chathiram Sheetharaman Chetty Road Arisipalayam Salem - 636009","636009",,,"0","0","1"
"30","Indian Steel Trading Corporation","indiansathishi@gmail.com",,,"91-452-4376519    
Mobile : 91 98431 74519",,"Madurai","civil","5","Steel","2","Tata Tiscon","168","Dealers","Indian Steel Trading Corporation deal with iron and steel products.Authorised dealer for Tata Tiscon.","1978","NO.18WEST MASI STREET
Madurai-625001","625001",,"www.istcmadurai.com","0","0","1"
"31","Indian Steel Trading Corporation","indiansathishi@gmail.com",,,"91-452-4376519    
Mobile : 91 98431 74519",,"Madurai","civil","5","Steel","2","Vizag","181","Dealers","Indian Steel Trading Corporation deal with iron and steel products.Authorised dealer for Vizag Steel.","1978","NO.18WEST MASI STREET
Madurai-625001","625001",,"www.istcmadurai.com","0","0","1"
"32","Kannith Suppliers",,,,"44-66424637",,"Madurai","civil","5","Steel","2","Tata Tiscon","168","Dealers","Kannith Suppliers Trading Corporation deal with iron and steel products.Authorised dealer for Tata Tiscon.","2007","New No 94 Old No 43 Door No S 6 2nd Floor Near Braodway Park Sembudoss Street Parrys Chennai - 600001","600001",,,"0","0","1"
"33","MP Steels Corporation","mpsteelscorporation@rediffmail.com",,,"91 - 452 - 2311128 | 4382906","94432 52906-98421 52906","Madurai","civil","5","Steel","2","Vizag","181","Dealers","MP Steels Corporation sales all kind of Iron and Steel products, Wiremesh products with the best
 quality in industry, as we cover major cities of south tamilnadu through our services and supplies 
covering huge client base is the best of our quality and best services testimonial.","1990","MP STEELS CORPORATION
136-E Kamarajar Salai
V.S. Chellam Soap Complex (Near Ganesh Theatre)
Madurai - 625009.","625009","MP-Steels.jpg","mpsteels.webwalk.in","0","0","1"
"34","MP Steels Corporation","mpsteelscorporation@rediffmail.com",,,"91 - 452 - 2311128 | 4382906","94432 52906 | 98421 52906","Madurai","civil","5","Steel","2","Tata Tiscon","168","Dealers","MP Steels Corporation sales all kind of Iron and Steel products, Wiremesh products with the 
best quality in industry, as we cover major cities of south tamilnadu through our services and 
supplies covering huge client base is the best of our quality and best services testimonial.","1990","MP STEELS CORPORATION
136-E Kamarajar Salai
V.S. Chellam Soap Complex (Near Ganesh Theatre)
Madurai - 625009.","625009","MP-Steels.jpg","mpsteels.webwalk.in","0","0","1"
"35","MP Steels Corporation","mpsteelscorporation@rediffmail.com",,,"91 - 452 - 2311128 | 4382906
Mobile No : 94432 52906 | 98421 52906",,"Madurai","civil","5","Steel","2","Sail","145","Dealers","MP Steels Corporation sales all kind of Iron and Steel products, Wiremesh products with the 
best quality in industry, as we cover major cities of south tamilnadu through our services 
and supplies covering huge client base is the best of our quality and best services testimonial.","1990","MP STEELS CORPORATION
136-E Kamarajar Salai
V.S. Chellam Soap Complex (Near Ganesh Theatre)
Madurai - 625009.","625009","MP-Steels.jpg","mpsteels.webwalk.in","0","0","1"
"36","Santhana Lakshmi Metals",,,,,"9843023293-9585595865","Madurai","civil","5","Steel","2","Jindal Steels","85","Dealers","Santhana Lakshmi Metals deal with iron and steel products.Authorised dealer for jindal.","1986","No 198 Chellappan Street Madurai HO Madurai - 625001","625001",,,"0","0","1"
"37","Sri Ganesha Hollow Bricks And Pavers",,,,"421-2257975","9442581978-9443351978","Madurai","civil","5","Cement","1","Ambuja Cements","6","Distributors","Sri Ganesha Hollow Bricks And Pavers deal with cement products.Authorised distributor for ambuja cements.","1998","Near Ramakrishna School Ammapalayam Tirupur - 641652","641652",,"www.sriganeshahollowbricks.com","0","0","1"
"38","Luv Kush Electrical",,,,"9894383103",,"Madurai","electricals","12","Circuit Protection","1","Anchor - Panasonic","6","Dealers","Luv Kush Electrical deal with Circuit Protection.Authorised dealers for Anchor-Panasonic.","2011","No 12 Opposite Sree Sastha Ceramics Good Shed Street Madurai Ho Madurai - 625001","625001",,"www.luvkushelectrical.com","0","0","1"
"39","Shahjee Electricals",,,,"9894055541","-","Madurai","electricals","12","Circuit Protection","1","Anchor - Panasonic","6","Dealers","Shahjee Electricals deal with Circuit Protection.Authorised Dealers for Anchor-Panasonic.","1980","No 268 Opposite Mosque West Masi Street Madurai Ho Madurai - 625001","625001","shahjee.jpg","www.shahjeeelectrical.com","0","0","1"
"40","Vasantham Paints and Hardwares",,,,"9842126207-8148368911",,"Madurai","electricals","12","Circuit Protection","1","Anchor - Panasonic","6","Dealers","Vasantham Paints and Hardwares deal with Circuit Protection.Authorised Dealers for Anchor-Panasonic.","1998","No 170|1 Keela Sandhai Pettai Bus Stop Kamarajar Salai Madurai Ho Madurai - 625001","625001",,,"0","0","1"
"41","Luv Kush Electrical",,,,"9894383103",,"Madurai","electricals","12","Switch Gear","2","Legrand","99","Dealers","Luv Kush Electrical deal with Switch Gear.Authorised dealers for Legrand.","2011","No 12 Opposite Sree Sastha Ceramics Good Shed Street Madurai Ho Madurai - 625001","625001",,"www.luvkushelectrical.com","0","0","1"
"42","Valli Engineering Company",,,,"9894064328",,"Madurai","electricals","12","Switch Gear","2","GE","58","Dealers","Valli Engineering Company Electricals deal with Switch Gear.Authorised Dealers for GE.","1997","No 25 Opposite Kpn Speed ParcelNear Koodal Alagar Perumal Temple Koodal Alagar Perumal Koil Street Madurai Ho Madurai - 625001","625001",,"www.valliengineering.in","0","0","1"
"43","Vasantham Paints and Hardwares",,,,"9842126207-8148368911",,"Madurai","electricals","12","Switch Gear","2","Schneider","151","Dealers","Vasantham Paints and Hardwares deal with Switch Gear.Authorised Dealers for Anchor-Panasonic.","1998","No 170|1 Keela Sandhai Pettai Bus Stop Kamarajar Salai Madurai Ho Madurai - 625001","625001",,,"0","0","1"
"44","Vasantham Paints and Hardwares",,,,"9842126207-8148368911",,"Madurai","electricals","12","Switch Gear","2","Schneider","151","Dealers","Vasantham Paints and Hardwares deal with Switch Gear.Authorised Dealers for Anchor-Panasonic.","1998","No 170|1 Keela Sandhai Pettai Bus Stop Kamarajar Salai Madurai Ho Madurai - 625001","625001",,,"0","0","1"
"45","Luv Kush Electrical",,,,"9894383103",,"Madurai","electricals","12","Switches","3","Anchor - Panasonic","6","Dealers","Luv Kush Electrical deal with Switches.Authorised dealers for Anchor-Panasonic.","2011","No 12 Opposite Sree Sastha Ceramics Good Shed Street Madurai Ho Madurai - 625001","625001",,"www.luvkushelectrical.com","0","0","1"
"46","Shahjee Electricals",,,,"9894055541","-","Madurai","electricals","12","Switches","3","Anchor - Panasonic","6","Dealers","Shahjee Electricals deal with Switches.Authorised Dealers for Anchor-Panasonic.","1980","No 268 Opposite Mosque West Masi Street Madurai Ho Madurai - 625001","625001",,"www.shahjeeelectrical.com","0","0","1"
"47","Vasantham Paints and Hardwares",,,,"9842126207-8148368911",,"Madurai","electricals","12","Switches","3","Havells","70","Dealers","Vasantham Paints and Hardwares deal with Switches.Authorised Dealers for Anchor-Panasonic.","1998","No 170|1 Keela Sandhai Pettai Bus Stop Kamarajar Salai Madurai Ho Madurai - 625001","625001",,,"0","0","1"
"48","Hi Tech Engineering",,,,"9442180993",,"Madurai","electricals","12","Wires and Cables","4","Finolex","56","Dealers","Hi Tech Engineering deal with Wires and Cables.Authorised dealers for finolex.","2001","No 61 Karpurapalli Vasal Line South Krishnan Koil Street South Masi Street Madurai - 625001","625001",,"-","0","0","1"
"49","Luv Kush Electrical",,,,"9894383103",,"Madurai","electricals","12","Wires and Cables","4","Anchor - Panasonic","6","Dealers","Luv Kush Electrical deal with Wires and Cables.Authorised dealers for Anchor-Panasonic.","2011","No 12 Opposite Sree Sastha Ceramics Good Shed Street Madurai Ho Madurai - 625001","625001",,"www.luvkushelectrical.com","0","0","1"
"50","Patel Electricals",,,,"9826801151-9826801155",,"Madurai","electricals","12","Wires and Cables","4","Finolex","56","Dealers","Luv Kush Electrical deal with Wires and Cables.Authorised dealers for Patel Electricals.","2003","SHOP NO 87 NEAR PIPALANI PETROL PUP SAHAKARI PARISAR Kalpana Nagar Bhopal - 462022","462022",,,"0","0","1"
"51","Shahjee Electricals",,,,"9894055541","-","Madurai","electricals","12","Wires and Cables","4","Anchor - Panasonic","6","Dealers","Shahjee Electricals deal with Wires and Cables.Authorised Dealers for Anchor-Panasonic.","1980","No 268 Opposite Mosque West Masi Street Madurai Ho Madurai - 625001","625001",,"www.shahjeeelectrical.com","0","0","1"
"52","Vasantham Paints and Hardwares",,,,"9842126207-8148368911",,"Madurai","electricals","12","Wires and Cables","4","Anchor - Panasonic","6","Dealers","Vasantham Paints and Hardwares deal with Wires and Cables.Authorised Dealers for Anchor-Panasonic.","1998","No 170|1 Keela Sandhai Pettai Bus Stop Kamarajar Salai Madurai Ho Madurai - 625001","625001",,,"0","0","1"
"53","R and D Infotech","randdinfotech@in.com",,,," 91 -9843386869
9994368511","Madurai","security and automation","10","Access Control","1","ESSL","52","Dealers","R and D Infotech we value the trust and beliefs vested in us by our clients and professional contacts and provide a dedicated service with an honest and direct approach in all our dealings. We are well known for our services in the market and are happy to have you as our customer. We deal with Access Control Systems Biometric Systems CCTV Fire Alarms and Time Attendance Systems.","2005","No. 42 Lakshmipuram
4th Street 1st Floor
Lakshmipuram
Madurai-625002","625002","RandD.jpg",,"0","0","1"
"54","A To Z Cctv System Service","atozcctvsystems@yahoo.co.in",,," 91 -452-3241175"," 91 -9842182633
9842482633","Madurai","security and automation","10","Access Control","1","Bosch","23","Dealers","Established in 2001 in Madurai A To Z CCTV Systemshas emerged itself as supplier trader retailer distributor wholesaler and importer of a complete range of security systems. Our product range includesCCTV Camera Indoor|Outdoor Bullet Camera Standalone DVR Unit IP Camera Box Camera Video Door Phone Alarm Power Adaptor IR IlluminatorandUTP Video Balun.","1994","No 45 Near Sacs Show Room Kakathoppu Street Town Hall Road Madurai Ho Madurai - 625001","625001","atoz.jpg","www.a2zcctv.in","0","0","1"
"55","R and D Infotech","randdinfotech@in.com",,,," 91 -9843386869
9994368511","Madurai","security and automation","10","Alaram and Detectors","2","Zicom","186","Dealers","R and D Infotech we value the trust and beliefs vested in us by our clients and professional contacts and provide a dedicated service with an honest and direct approach in all our dealings. We are well known for our services in the market and are happy to have you as our customer. We deal with Access Control Systems Biometric Systems CCTV Fire Alarms and Time Attendance Systems.","2004","No. 42 Lakshmipuram
4th Street 1st Floor
Lakshmipuram
Madurai-625001","625001","RandD.jpg",,"0","0","1"
"56","A To Z Cctv System Service","atozcctvsystems@yahoo.co.in",,," 91 -452-3241175"," 91 -9842182633
9842482633","Madurai","security and automation","10","Alaram and Detectors","2","Bosch","23","Dealers","Established in 2001 in Madurai A To Z CCTV Systemshas emerged itself as supplier trader retailer distributor wholesaler and importer of a complete range of security systems. Our product range includesCCTV Camera Indoor|Outdoor Bullet Camera Standalone DVR Unit IP Camera Box Camera Video Door Phone Alarm Power Adaptor IR IlluminatorandUTP Video Balun.","1994","No 45 Near Sacs Show Room Kakathoppu Street Town Hall Road Madurai Ho Madurai - 625001","625001","atoz.jpg","www.a2zcctv.in","0","0","1"
"57","A To Z Cctv System Service","atozcctvsystems@yahoo.co.in",,," 91 -452-3241175"," 91 -9842182633
9842482633","Madurai","security and automation","10","Alaram and Detectors","2","Godrej","62","Dealers","Established in 2001 in Madurai A To Z CCTV Systemshas emerged itself as supplier trader retailer distributor wholesaler and importer of a complete range of security systems. Our product range includesCCTV Camera Indoor|Outdoor Bullet Camera Standalone DVR Unit IP Camera Box Camera Video Door Phone Alarm Power Adaptor IR IlluminatorandUTP Video Balun.","1994","No 45 Near Sacs Show Room Kakathoppu Street Town Hall Road Madurai Ho Madurai - 625001","625001","atoz.jpg","www.a2zcctv.in","0","0","1"
"58","R and D Infotech","randdinfotech@in.com",,,," 91 -9843386869
9994368511","Madurai","security and automation","10","Camera system ","3","Zicom","186","Dealers","R and D Infotech we value the trust and beliefs vested in us by our clients and professional contacts and provide a dedicated service with an honest and direct approach in all our dealings. We are well known for our services in the market and are happy to have you as our customer. We deal with Access Control Systems Biometric Systems CCTV Fire Alarms and Time Attendance Systems.","2004","No. 42 Lakshmipuram
4th Street 1st Floor
Lakshmipuram
Madurai-625001","625001","RandD.jpg",,"0","0","1"
"59","R and D Infotech","randdinfotech@in.com",,,," 91 -9843386869
9994368511","Madurai","security and automation","10","Camera system ","3","HikVision","74","Dealers","R and D Infotech we value the trust and beliefs vested in us by our clients and professional contacts and provide a dedicated service with an honest and direct approach in all our dealings. We are well known for our services in the market and are happy to have you as our customer. We deal with Access Control Systems Biometric Systems CCTV Fire Alarms and Time Attendance Systems.","2006","No. 42 Lakshmipuram
4th Street 1st Floor
Lakshmipuram
Madurai-625003","625003","RandD.jpg",,"0","0","1"
"60","Smart Info Solutions","info@smartinfosolutions.net",,,," 91 -9944420999
9994888468","Madurai","security and automation","10","Camera system ","3","Honeywell","78","Dealers","We ?SMART INFO SOLUTIONS? are one of the eminent trader of security telecommunication access attendance and IT products. The range offered by us is well recognized for its quality easy usage and longer service life.","2011","No 2 Near Christ Church
Rajendra Main Road
Madurai Ho
Madurai - 625001","625001","smart.jpg","www.smartinfosolutions.net","0","0","1"
"61","Smart Info Solutions","info@smartinfosolutions.net",,,," 91 -9944420999
9994888468","Madurai","security and automation","10","Camera system ","3","Samsung","148","Dealers","We SMART INFO SOLUTIONS are one of the eminent trader of security telecommunication access attendance and IT products. The range offered by us is well recognized for its quality easy usage and longer service life.","2011","No 2 Near Christ Church
Rajendra Main Road
Madurai Ho
Madurai - 625001","625001","smart.jpg","www.smartinfosolutions.net","0","0","1"
"62","A To Z Cctv System Service","atozcctvsystems@yahoo.co.in",,," 91 -452-3241175"," 91 -9842182633
9842482633","Madurai","security and automation","10","Camera system ","3","Samsung","148","Dealers","Established in 2001 in Madurai A To Z CCTV Systemshas emerged itself as supplier trader retailer distributor wholesaler and importer of a complete range of security systems. Our product range includesCCTV Camera Indoor|Outdoor Bullet Camera Standalone DVR Unit IP Camera Box Camera Video Door Phone Alarm Power Adaptor IR IlluminatorandUTP Video Balun.","1994","No 45 Near Sacs Show Room Kakathoppu Street Town Hall Road Madurai Ho Madurai - 625001","625001","atoz.jpg","www.a2zcctv.in","0","0","1"
"63","A To Z Cctv System Service","atozcctvsystems@yahoo.co.in",,," 91 -452-3241175"," 91 -9842182633
9842482633","Madurai","security and automation","10","Camera system ","3","LG","100","Dealers","Established in 2001 in Madurai A To Z CCTV Systemshas emerged itself as supplier trader retailer distributor wholesaler and importer of a complete range of security systems. Our product range includesCCTV Camera Indoor|Outdoor Bullet Camera Standalone DVR Unit IP Camera Box Camera Video Door Phone Alarm Power Adaptor IR IlluminatorandUTP Video Balun.","1994","No 45 Near Sacs Show Room Kakathoppu Street Town Hall Road Madurai Ho Madurai - 625001","625001","atoz.jpg","www.a2zcctv.in","0","0","1"
"64","A To Z Cctv System Service","atozcctvsystems@yahoo.co.in",,," 91 -452-3241175"," 91 -9842182633
9842482633","Madurai","security and automation","10","Camera system ","3","Zicom","186","Dealers","Established in 2001 in Madurai A To Z CCTV Systemshas emerged itself as supplier trader retailer distributor wholesaler and importer of a complete range of security systems. Our product range includesCCTV Camera Indoor|Outdoor Bullet Camera Standalone DVR Unit IP Camera Box Camera Video Door Phone Alarm Power Adaptor IR IlluminatorandUTP Video Balun.","1994","No 45 Near Sacs Show Room Kakathoppu Street Town Hall Road Madurai Ho Madurai - 625001","625001","atoz.jpg","www.a2zcctv.in","0","0","1"
"65","Rajashree Film Stores Digital Camera Shop","support@etownmadurai.com",,," 91 -452-4502060"," 91 -9843395033
9789790060","Madurai","security and automation","10","Camera system ","3","Samsung","148","Dealers","Rajashree Film Stores Digital Cameras is the most famous digital cameras stores in Madurai. We used digital cameras in the film industry at reasonable prices.","2005","No 399|148 Next Pothys
West Masi Street
Madurai Bazaar
Madurai - 625001","625001","rajashree.jpg","www.etownmadurai.com","0","0","1"
"66","British Camera Stores",,,," 91 -452-2342636"," 91 -9843390494","Madurai","security and automation","10","Camera system ","3","Samsung","148","Dealers","British Camera Stores is a leading Photo Studio in Madurai and also known as the dealer and retailer of Camera. Our range of products comprises Album All Types of Memory Card and Digi Cam Batteries and Multi Brand Digital Cameras. All these products are procured from the renowned brands which develop the products following the set of industry norms and standards. The offered cameras and digicam are appreciated by the clients for their optimum quality durability and less maintenance.","1947","No 129 Opposite Venus Electronics
Town Hall Road
Madurai HO
Madurai - 625001","625001","british.jpg","www.britishcamerastores.com","0","0","1"
